ED1;ED2;ED3;ED4;ED5;ED6;ED7;ED8;ED9;ED10;ED11;ED12;ED13;ED14;ED15;ED16;ED17;ED18;ED19;ED20;ED21;ED22;ED23;UCH;BL;BRAB;NR;EDNK;SPOS;ADM;KATG;RAZN;SOST;GAZ;OSNOBG;VBEZ;BPROST
736.0;1.0;  200;2010.0;5.0;272.0;1.0;481.0;2.0;111.0;20100508.0;0.0;;0.0;0.0;0;0;0;0;0;0;0;;0.0;0.0;0.0;1.0;0;61.0;55.0;1.0;14.0;12.0;0.0;1.0;;1.0
736.0;1.0;  200;2010.0;6.0;272.0;1.0;481.0;1.0;0.0;20100508.0;720.0;999.0;1179.0;35.0;30;45,3;40,47;39,3;2,9;2,2;1,17;;0.0;0.0;720.0;1.0;1329;20.0;55.0;1.0;1.0;23.0;41265.0;1.0;;0.0
736.0;1.0;  200;2010.0;7.0;272.0;1.0;481.0;1.0;0.0;20100508.0;744.0;999.0;1157.0;47.0;40;43,39;38,84;37,32;4;3;1,17;;0.0;0.0;744.0;1.0;1304;20.0;55.0;1.0;1.0;23.0;40495.0;1.0;;0.0
736.0;1.0;  200;2010.0;8.0;272.0;1.0;481.0;1.0;0.0;20100508.0;744.0;999.0;1063.0;43.0;37;39,87;35,7;34,3;3,9;3;1,17;;0.0;0.0;744.0;1.0;1199;20.0;55.0;1.0;1.0;23.0;37205.0;1.0;;0.0
736.0;1.0;  200;2010.0;9.0;272.0;1.0;481.0;1.0;21.0;20100508.0;648.0;999.0;847.0;44.0;38;36,78;33,01;31,37;5;3,8;1,17;;0.0;0.0;648.0;1.0;955;20.0;55.0;1.0;1.0;23.0;29645.0;1.0;;72.0
736.0;1.0;  200;2010.0;10.0;272.0;1.0;481.0;1.0;0.0;20100508.0;360.0;999.0;477.0;19.0;16;36,93;33,06;31,81;3,8;2,9;1,17;;0.0;0.0;360.0;1.0;538;20.0;55.0;1.0;1.0;23.0;16695.0;1.0;;0.0
736.0;1.0;  200;2010.0;11.0;272.0;1.0;481.0;1.0;66.0;20100508.0;696.0;45.0;1622.0;66.0;57;65;58,21;55,93;3,9;3;1,17;;0.0;0.0;696.0;1.0;1828;62.0;55.0;1.0;1.0;23.0;56770.0;1.0;;24.0
736.0;1.0;  200;2010.0;12.0;272.0;1.0;481.0;1.0;87.0;20100508.0;720.0;45.0;1678.0;68.0;58;65;58,19;55,93;3,9;3;1,17;;0.0;0.0;720.0;1.0;1892;62.0;55.0;1.0;1.0;23.0;58730.0;1.0;;24.0
736.0;1.0;  200;2011.0;1.0;272.0;1.0;481.0;1.0;87.0;20100508.0;672.0;45.0;1566.0;63.0;54;65;58,19;55,93;3,9;3;1,17;;0.0;0.0;672.0;1.0;1766;62.0;55.0;1.0;1.0;1.0;54810.0;1.0;;72.0
736.0;1.0;  200;2011.0;2.0;272.0;1.0;481.0;1.0;0.0;20100508.0;672.0;45.0;1515.0;62.0;53;62,86;56,31;54,1;3,9;3;1,17;;0.0;0.0;672.0;1.0;1708;62.0;55.0;1.0;1.0;1.0;53025.0;1.0;;0.0
