ED1;ED2;ED3;ED4;ED5;ED6;ED7;ED8;ED9;ED10;ED11;ED12;ED13;ED14;ED15;ED16;ED17;ED18;ED19;ED20;ED21;ED22;ED23;UCH;BL;BRAB;NR;EDNK;SPOS;ADM;KATG;RAZN;SOST;GAZ;OSNOBG;VBEZ;BPROST
736;1;   205;2019;12;272;1;481;2;111;20200111;0;;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;61;;1;14;12;0;1;;191
736;1;   205;2020;1;272;1;481;2;111;20200111;0;;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;61;;1;13;11;0;1;;240
736;1;   205;2020;1;272;1;481;2;39;20200111;0;;0;0;0;0;0;0;0;5;1,17;;0;0;0;2;0;61;;1;13;11;0;1;;1
736;1;   205;2020;1;272;1;481;1;0;20200111;503;27;317,89;22,069;18,863;18;16,221;15,168;6,5;5;1,17;;0;0;503;3;358,388;62;;1;3;22;11126;1;;0
736;1;   205;2020;2;272;1;481;1;0;20200111;696;27;439,863;30,537;26,1;18;16,221;15,168;6,5;5;1,17;;0;0;696;1;495,9;62;;1;1;22;15395;1;;0
736;1;   205;2020;3;272;1;481;1;0;20200111;744;27;496,321;34,457;29,45;19;17,121;16,01;6,5;5;1,17;;0;0;744;1;559,55;62;;1;1;22;17371;1;;0
736;1;   205;2020;4;272;1;481;1;0;20200111;720;27;480,311;33,345;28,5;19;17,121;16,01;6,5;5;1,17;;0;0;720;1;541,5;62;;1;1;22;16811;1;;0
736;1;   205;2020;5;272;1;481;1;0;20200111;744;27;496,321;34,457;29,45;19;17,121;16,01;6,5;5;1,17;;0;0;744;1;559,55;62;;1;1;22;17371;1;;0
736;1;   205;2020;6;272;1;481;1;0;20200111;720;27;480,311;33,345;28,5;19;17,121;16,01;6,5;5;1,17;;0;0;720;1;541,5;62;;1;1;22;16811;1;;0
736;1;   205;2020;7;272;1;481;1;0;20200111;744;27;156,733;10,881;9,3;6;5,407;5,056;6,5;5;1,17;;0;0;744;1;176,7;62;;1;1;22;5486;1;;0
736;1;   205;2020;8;272;1;481;1;0;20200111;744;27;156,733;10,881;9,3;6;5,407;5,056;6,5;5;1,17;;0;0;744;1;176,7;62;;1;1;22;5486;1;;0
736;1;   205;2020;9;272;1;481;1;0;20200111;720;27;151,677;10,53;9;6;5,407;5,056;6,5;5;1,17;;0;0;720;1;171;62;;1;1;22;5309;1;;0
736;1;   205;2020;10;272;1;481;1;0;20200111;744;27;156,733;10,881;9,3;6;5,407;5,056;6,5;5;1,17;;0;0;744;1;176,7;62;;1;1;22;5486;1;;0
736;1;   205;2020;11;272;1;481;1;0;20200111;720;27;151,677;10,53;9;6;5,407;5,056;6,5;5;1,17;;0;0;720;1;171;62;;1;1;22;5309;1;;0
736;1;   205;2020;12;272;1;481;1;0;20200111;744;27;156,733;10,881;9,3;6;5,407;5,056;6,5;5;1,17;;0;0;744;1;176,7;62;;1;1;22;5486;1;;0
736;1;   205;2021;1;272;1;481;1;0;20200111;744;27;156,733;10,881;9,3;6;5,407;5,056;6,5;5;1,17;;0;0;744;1;176,7;62;;1;1;1;5486;1;;0
