Y;x1;x2;x3
112;1;1949;1
118;2;1949;2
132;3;1949;3
129;4;1949;4
121;5;1949;5
135;6;1949;6
148;7;1949;7
148;8;1949;8
136;9;1949;9
119;10;1949;10
104;11;1949;11
118;12;1949;12
115;13;1950;1
126;14;1950;2
141;15;1950;3
135;16;1950;4
125;17;1950;5
149;18;1950;6
170;19;1950;7
170;20;1950;8
158;21;1950;9
133;22;1950;10
114;23;1950;11
140;24;1950;12
145;25;1951;1
150;26;1951;2
178;27;1951;3
163;28;1951;4
172;29;1951;5
178;30;1951;6
199;31;1951;7
199;32;1951;8
184;33;1951;9
162;34;1951;10
146;35;1951;11
166;36;1951;12
171;37;1952;1
180;38;1952;2
193;39;1952;3
181;40;1952;4
183;41;1952;5
218;42;1952;6
230;43;1952;7
242;44;1952;8
209;45;1952;9
191;46;1952;10
172;47;1952;11
194;48;1952;12
196;49;1953;1
196;50;1953;2
236;51;1953;3
235;52;1953;4
229;53;1953;5
243;54;1953;6
264;55;1953;7
272;56;1953;8
237;57;1953;9
211;58;1953;10
180;59;1953;11
201;60;1953;12
204;61;1954;1
188;62;1954;2
235;63;1954;3
227;64;1954;4
234;65;1954;5
264;66;1954;6
302;67;1954;7
293;68;1954;8
259;69;1954;9
229;70;1954;10
203;71;1954;11
229;72;1954;12
242;73;1955;1
233;74;1955;2
267;75;1955;3
269;76;1955;4
270;77;1955;5
315;78;1955;6
364;79;1955;7
347;80;1955;8
312;81;1955;9
274;82;1955;10
237;83;1955;11
278;84;1955;12
284;85;1956;1
277;86;1956;2
317;87;1956;3
313;88;1956;4
318;89;1956;5
374;90;1956;6
413;91;1956;7
405;92;1956;8
355;93;1956;9
306;94;1956;10
271;95;1956;11
306;96;1956;12
315;97;1957;1
301;98;1957;2
356;99;1957;3
348;100;1957;4
355;101;1957;5
422;102;1957;6
465;103;1957;7
467;104;1957;8
404;105;1957;9
347;106;1957;10
305;107;1957;11
336;108;1957;12
340;109;1958;1
318;110;1958;2
362;111;1958;3
348;112;1958;4
363;113;1958;5
435;114;1958;6
491;115;1958;7
505;116;1958;8
404;117;1958;9
359;118;1958;10
310;119;1958;11
337;120;1958;12
360;121;1959;1
342;122;1959;2
406;123;1959;3
396;124;1959;4
420;125;1959;5
472;126;1959;6
548;127;1959;7
559;128;1959;8
463;129;1959;9
407;130;1959;10
362;131;1959;11
405;132;1959;12
417;133;1960;1
391;134;1960;2
419;135;1960;3
461;136;1960;4
472;137;1960;5
535;138;1960;6
622;139;1960;7
