Y;x1;x2;x3;x4;x8;x9
-5,2;1;1;0;1;1;1
-4,2;2;1;0;1;2;1
-3,2;3;1;0;1;3;1
-3,4;4;1;0;1;4;1
-2,4;5;1;0;1;5;1
-2,2;6;1;0;1;6;1
-2;7;1;0;1;7;1
-1,6;8;1;0;1;8;1
-1,4;9;1;0;1;9;1
-1,4;10;1;0;1;10;1
-1,4;11;1;0;1;11;1
-1,4;12;1;0;1;12;1
-1,4;13;1;0;1;13;1
-1,6;14;1;0;1;14;1
-1,8;15;1;0;1;15;1
-2;16;1;0;1;16;1
-11;17;0;0;1;1;1
-6,8;18;0;0;1;2;1
-4,8;19;0;0;1;3;1
-3,4;20;0;0;1;4;1
-3;21;0;0;1;5;1
-2,8;22;0;0;1;6;1
-2,8;23;0;0;1;7;1
-2,8;24;0;0;1;8;1
-2,6;25;0;0;1;9;1
-2,6;26;0;0;1;10;1
-2,6;27;0;0;1;11;1
-2,8;28;0;0;1;12;1
-3;29;0;0;1;13;1
-3;30;0;0;1;14;1
-3,2;31;0;0;1;15;1
-3,2;32;0;0;1;16;1
0;33;0;1;1;1;2
-1,6;34;0;1;1;2;2
-2;35;0;1;1;3;2
-3;36;0;1;1;4;2
-3,4;37;0;1;1;5;2
-3,6;38;0;1;1;6;2
-3,6;39;0;1;1;7;2
-3,6;40;0;1;1;8;2
-3,4;41;0;1;1;9;2
-3,4;42;0;1;1;10;2
-3,2;43;0;1;1;11;2
-3,2;44;0;1;1;12;2
-0,8;45;0;0;1;1;3
-1,2;46;0;0;1;2;3
-1,8;47;0;0;1;3;3
-2,4;48;0;0;1;4;3
-2,8;49;0;0;1;5;3
-2,4;50;0;0;1;6;3
-2,8;51;0;0;1;7;3
-3;52;0;0;1;8;3
-3,2;53;0;0;1;9;3
-3,2;54;0;0;1;10;3
-3,2;55;0;0;1;11;3
-3;56;0;0;1;12;3
-3;57;0;0;1;13;3
-2,8;58;1;0;1;1;4
-4,6;59;1;0;1;2;4
-4;60;1;0;1;3;4
-4;61;1;0;1;4;4
-3,8;62;1;0;1;5;4
-3,6;63;1;0;1;6;4
-3,6;64;1;0;1;7;4
-3,4;65;1;0;1;8;4
-3,2;66;1;0;1;9;4
-3;67;1;0;1;10;4
-3;68;1;0;1;11;4
-3;69;1;0;1;12;4
-6,2;70;1;0;1;1;5
-5,4;71;1;0;1;2;5
-5,2;72;1;0;1;3;5
-4,4;73;1;0;1;4;5
-3,8;74;1;0;1;5;5
-3,4;75;1;0;1;6;5
-3,2;76;1;0;1;7;5
-3,2;77;1;0;1;8;5
-3;78;1;0;1;9;5
-3,2;79;1;0;1;10;5
-3,2;80;1;0;1;11;5
-3,4;81;1;0;1;12;5
-0,4;82;1;0;1;1;6
-3;83;1;0;1;2;6
-3,6;84;1;0;1;3;6
-3,8;85;1;0;1;4;6
-3,6;86;1;0;1;5;6
-3,4;87;1;0;1;6;6
-3,2;88;1;0;1;7;6
-3;89;1;0;1;8;6
-3;90;1;0;1;9;6
-3;91;1;0;1;10;6
-3,2;92;1;0;1;11;6
-4,2;93;1;0;1;1;7
-5;94;1;0;1;2;7
-5,4;95;1;0;1;3;7
-4,8;96;1;0;1;4;7
-3,8;97;1;0;1;5;7
-3,4;98;1;0;1;6;7
-3,2;99;1;0;1;7;7
-3,2;100;1;0;1;8;7
-3,2;101;1;0;1;9;7
-3,2;102;1;0;1;10;7
-3,2;103;1;0;1;11;7
-3,2;104;1;0;1;12;7
-6,8;105;1;0;1;1;8
-5,6;106;1;0;1;2;8
-4,4;107;1;0;1;3;8
-4;108;1;0;1;4;8
-4;109;1;0;1;5;8
-3,4;110;1;0;1;6;8
-3;111;1;0;1;7;8
-3;112;1;0;1;8;8
-3;113;1;0;1;9;8
-3;114;1;0;1;10;8
-3;115;1;0;1;11;8
-3;116;1;0;1;12;8
-1;117;1;0;1;1;9
-2,4;118;1;0;1;2;9
-3,2;119;1;0;1;3;9
-3,2;120;1;0;1;4;9
-3,4;121;1;0;1;5;9
-3,2;122;1;0;1;6;9
-3,2;123;1;0;1;7;9
-3,2;124;1;0;1;8;9
-2,8;125;1;0;1;9;9
-2,8;126;1;0;1;10;9
-2,8;127;1;0;1;11;9
-2,8;128;1;0;1;12;9
-6;129;1;0;0;1;1
-6,8;130;1;0;0;2;1
-4,2;131;1;0;0;3;1
-3,2;132;1;0;0;4;1
-2,2;133;1;0;0;5;1
-1,6;134;1;0;0;6;1
-12,6;135;0;0;0;1;1
-6,2;136;0;0;0;2;1
-4,8;137;0;0;0;3;1
-4,4;138;0;0;0;4;1
-3;139;0;0;0;5;1
-2,6;140;0;0;0;6;1
-2,4;141;0;0;0;7;1
